index,rating,title,body,review_for,author,location,badge,helpful_count,unhelpful_count,verified_purchase,time_ago,image_count
38,5.0,Super!,Excellent product👍,Review for: Color Silver • Storage 256 GB,mr harjeet dhillon,Bathinda,,1,,True,4 months ago,0
39,5.0,Worth every penny,Good,Review for: Color Cosmic Orange • Storage 256 GB,Flipkart Customer,Visakhapatnam,,1,,True,4 months ago,0
40,4.0,Good quality product,Awesome,Review for: Color Cosmic Orange • Storage 256 GB,Srinu Rameswarapu,Rajahmundry,,1,,True,2 months ago,0
41,5.0,Classy product,very nice..,Review for: Color Deep Blue • Storage 256 GB,Avijit Bera,New Delhi,,17,45,True,4 months ago,5
42,3.0,Simply awesome,Fine look and colour also so attractive better than orange colour,Review for: Color Deep Blue • Storage 256 GB,Mr. Armaan,New Delhi,,9,7,True,5 months ago,0
43,5.0,Classy product,"I upgrade 14 plus to 17 pro 

Very nice iPhone 17 pro only cosmic orange colour 

Only orange bhagva 🧡🧡",Review for: Color Cosmic Orange • Storage 256 GB,rohit kumbhaj,Indore,,11,31,True,3 months ago,5
44,5.0,Terrific purchase,To be honest it is just status symbol. Price is also very expensive. Telephonic camera is good. Interface is also good.,Review for: Color Cosmic Orange • Storage 256 GB,Amit Sharma,Amritsar,,3,5,True,1 month ago,1
45,5.0,Mind-blowing purchase,Superb iPhone,Review for: Color Silver • Storage 256 GB,DEEPAK JAIN,Agra Division,,3,4,True,5 months ago,0
46,5.0,Worth every penny,Apple u r fabulous,Review for: Color Cosmic Orange • Storage 256 GB,Flipkart Customer,Una District,,5,14,True,5 months ago,2
47,5.0,Just wow!,Awesome,Review for: Color Cosmic Orange • Storage 256 GB,Amit Kumar,New Delhi,,2,3,True,5 months ago,0
48,5.0,Best in the market!,Indeed a worthy purchase!,Review for: Color Deep Blue • Storage 256 GB,Swapnil Karve,Pune,,1,,True,4 months ago,0
